shape,x,y,radius,angle_start,angle_end,color_r,color_g,color_b
circle,50.0,50.0,40,0,360,1,0.51,0.0
circle,50.0,50.0,40,0,360,0.9499999999999995,1,0.0
circle,50.0,50.0,40,0,360,0.40999999999999925,1,0.0
circle,50.0,50.0,40,0,360,0.0,1,0.13000000000000123
circle,50.0,50.0,40,0,360,0.0,1,0.6700000000000017
circle,50.0,50.0,40,0,360,0.0,0.7899999999999978,1
circle,50.0,50.0,40,0,360,0.0,0.24999999999999734,1
circle,50.0,50.0,40,0,360,0.2900000000000027,0.0,1
circle,50.0,50.0,40,0,360,0.8300000000000036,0.0,1
circle,50.0,50.0,40,0,360,1,0.0,0.6299999999999955
circle,50.0,50.0,40,0,360,1,0.0,0.08999999999999542
circle,50.0,50.0,40,0,360,1,0.44999999999999396,0.0
circle,50.0,50.0,40,0,360,1,0.9899999999999824,0.0
circle,50.0,50.0,40,0,360,0.47000000000002906,1,0.0
circle,50.0,50.0,40,0,360,0.0,1,0.06999999999995943
circle,50.0,50.0,40,0,360,0.0,1,0.6099999999999479
